id,value,type
cisco data center analytics framework,0.0,1
cisco virtualization experience client 6000 series firmware,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",5.5,0
cisco identity services engine software,0.0,1
solarwinds storage manager,0.0,1
siemens siprotec compact,0.0,1
open-xchange open-xchange appsuite,0.0,1
cisco nexus 4001i,0.0,1
djangoproject django,0.0,1
zohocorp manageengine assetexplorer,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",6.8,0
cisco nx-os,0.0,1
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",8.3,0
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",4.6,0
"('LOCAL', 'LOW', 'NONE', 'NONE', 'PARTIAL')",3.6,0
cisco mds 9700,0.0,1
cisco unified meetingplace,0.0,1
cisco adaptive security appliance software,0.0,1
petition project petition,0.0,1
docker docker,0.0,1
foxitsoftware phantompdf,0.0,1
foxitsoftware reader,0.0,1
"('NETWORK', 'MEDIUM', 'MULTIPLE_INSTANCES', 'NONE', 'NONE')",5.7,0
openstack python-keystoneclient,0.0,1
wpsymposium wp symposium,0.0,1
apache subversion,0.0,1
apache http server,0.0,1
apple safari,0.0,1
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",1.9,0
oracle ilearning,0.0,1
ibm tivoli storage manager fastback,0.0,1
ibm db2,0.0,1
ibm websphere application server,0.0,1
microsoft silverlight,0.0,1
microsoft windows rt,0.0,1
pimcore pimcore,0.0,1
ge mds pulsenet,0.0,1
everest peakhmi,0.0,1
php php,0.0,1
superwebmailer superwebmailer,0.0,1
vmware workstation,0.0,1
huawei seq analyst,0.0,1
thekelleys dnsmasq,0.0,1
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'NONE')",1.9,0
oracle virtualization,0.0,1
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'NONE')",2.1,0
cisco secure access control system,0.0,1
cisco secure access control server,0.0,1
cisco security manager,0.0,1
cisco videoscape distribution suite for internet streaming,0.0,1
cisco telepresence te software,0.0,1
apple apple tv,0.0,1
oracle enterprise manager plugin for database control,0.0,1
fortinet fortios,0.0,1
sprymedia datatables,0.0,1
taxonews project taxonews,0.0,1
osinet classified ads,0.0,1
patterns patterns,0.0,1
alfresco alfresco,0.0,1
nodeauthor project nodeauthor,0.0,1
levelteninteractive content analysis,0.0,1
joshics contact form fields,0.0,1
video project video,0.0,1
linkit project linkit,0.0,1
term merge project term merge,0.0,1
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",3.6,0
x.org xorg-server,0.0,1
quassel-irc quassel,0.0,1
acme mini httpd,0.0,1
redhat jboss portal,0.0,1
schneider electric pelco ds-nv,0.0,1
fortinet fortiauthenticator,0.0,1
moxa vport activex sdk plus,0.0,1
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",5.4,0
honeywell excel web xl 1000c1000 600 i%2fo uukl,0.0,1
cisco unified ip phone 9951,0.0,1
fortinet forticlient,0.0,1
restaurantbiller restaurant biller,0.0,1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'COMPLETE')",7.1,0
bluecoat unified agent,0.0,1
siemens simatic step 7,0.0,1
websense triton ap web,0.0,1
picketlink picketlink,0.0,1
archmage project archmage,0.0,1
xmltooling project xmltooling,0.0,1
freeimage project freeimage,0.0,1
ericsson drutt mobile service delivery platform,0.0,1
adminsystems cms project adminsystems cms,0.0,1
mobile domain project mobile domain,0.0,1
redirection project redirection,0.0,1
dell asset manager,0.0,1
fatfreecrm fat free crm,0.0,1
maarch gec%2fged,0.0,1
juniper junos,0.0,1
ibm websphere mq,0.0,1
htacg tidy,0.0,1
ibm infosphere information server,0.0,1
novius-os novius os,0.0,1
cagintranetworks getsimple cms,0.0,1
oracle oracle and sun systems product suite,0.0,1
googlesearch project googlesearch,0.0,1
ibm websphere message broker,0.0,1
ibm tivoli directory server,0.0,1
ibm domino,0.0,1
emc rsa identity management and governance,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'NONE')",7.5,0
emc atmos,0.0,1
emc documentum content server,0.0,1
emc documentum taskspace,0.0,1
ibs mappro project ibs mappro,0.0,1
concrete5 concrete5,0.0,1
openstack horizon,0.0,1
mcafee epo deep command,0.0,1
thecartpress thecartpress ecommerce shopping cart,0.0,1
