source,target,value
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",eliacom enhanced sql portal,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",web links project web links,3.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",magento magento,5.0
"('ADJACENT_NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",redhat openstack,7.7
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",mobile sliding menu project mobile sliding menu,2.1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",cisco prime infrastructure,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",webform matrix component project webform matrix component,3.5
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",cisco telepresence video communication server software,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",juniper mag pcs360,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle enterprise manager grid control,5.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",oracle supply chain products suite,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",navigate project navigate,4.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",canonical ubuntu linux,3.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",freebsd freebsd,2.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",shipwire api project shipwire api,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",pentaho business analytics,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",ciphercoin wp limit login attempts,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",securemoz securemoz security audit,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",tracking code project tracking code,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",bestpractical request tracker,4.3
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",structured dynamics open semantic framework,2.6
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",microsoft exchange server,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows 8.1,9.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",microsoft windows,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",apache struts,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",apache jackrabbit,6.4
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",microsoft windows server 2008,9.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft biztalk server,4.3
"('NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'NONE')",microsoft windows rt 8.1,2.6
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft windows rt 8.1,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows server 2008,9.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco telepresence conductor,7.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cisco telepresence conductor,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco application networking manager,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco network analysis module 2304,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",cisco intrusion prevention system,7.1
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",cisco nexus 5020,7.9
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",cisco ios,5.0
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'NONE')",isc bind,5.4
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",arubanetworks instant access point,7.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sap netweaver j2ee engine,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",campaign monitor project campaign monitor,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",mozilla firefox,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco telepresence server software,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",dulwich project dulwich,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sap netweaver,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",mysql-lite-administrator project mysql-lite-administrator,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",paypal currency converter basic for woocommerce project paypal currency converter basic for woocommerce,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",silverstripe silverstripe,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",silverstripe silverstripe,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",zohocorp manageengine assetexplorer,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sap mobile platform,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",h-fj mt-phpincgi,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",webgateinc edvr manager,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",webgate webgate embedded standard protocol sdk,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",webgateinc winrds,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",agilent technologies feature extraction,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",webgateinc webeyeaudio,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sympies wordpress survey and poll,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",apache mod-gnutls,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",philippine long distance telephone kasda kw58293,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",philippine long distance telephone speedsurf 504an,7.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",philippine long distance telephone kasda kw58293,6.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",impero impero education pro,7.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",adobe acrobat reader dc,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",semperfiwebdesign all in one seo pack,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",hidemaru editor,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",nishishi fumy teachers schedule board,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",flashy project flashy,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",lhaplus lhaplus,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",lhaplus lhaplus,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",bblog project bblog,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",t1utils project t1utils,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",parityrate roomcloud,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",phpmyadmin phpmyadmin,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",phpmyadmin phpmyadmin,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",ruby-lang ruby,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",indusoft web studio,7.5
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla firefox,4.4
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ansibleworks ansible,4.3
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'COMPLETE')",canonical ubuntu linux,6.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",corel wordperfect,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",apple mac os,7.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",pacemaker%2fcorosync configuration system project pacemaker%2fcorosync configuration system,8.5
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",canonical ubuntu linux,7.2
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",websense v-series appliances,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",haxx libcurl,7.5
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",mozilla firefox os,3.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",freereprintables articlefr,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",novell opensuse,4.3
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft windows,3.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla firefox os,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'NONE')",openstack kilo,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",phpwind phpwind,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",phpwind phpwind,5.8
"('LOCAL', 'HIGH', 'NONE', 'PARTIAL', 'PARTIAL')",ibm rational doors next generation,3.7
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm rational team concert,3.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm rational doors next generation,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",ibm leads,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",geddyjs geddy,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",symantec deployment solution,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",bittorrent bootstrap-dht,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",chiyutw bf-660c,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",chiyu bf-660c,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",trend micro deep discovery inspector,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",trend micro deep discovery inspector,5.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco webex meeting center,6.4
"('LOCAL', 'HIGH', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",hp centralview credit risk control,6.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",mcafee epolicy orchestrator,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",tibco messaging appliance,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",tibco spotfire analytics platform for aws,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",linux linux kernel,8.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",linux linux kernel,9.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle jdk,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows server 2008,0.0
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",microsoft windows vista,1.9
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'COMPLETE')",microsoft windows rt 8.1,4.7
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft virtual machine manager,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",digium certified asterisk,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",mylittleforum my little forum,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",asus rt-n10%2bd1,4.3
"('LOCAL', 'HIGH', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",hp centralview revenue leakage control,6.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",easing slider easing slider,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",hp version control repository manager,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",websense triton ap web,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",linux linux kernel,9.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",cisco telepresence video communication server software,5.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco telepresence video communication server software,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",cisco telepresence video communication server software,5.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",oracle peoplesoft products,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",oracle javafx,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle database server,4.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle fusion middleware,6.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle jdk,5.8
"('LOCAL', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'NONE')",oracle solaris,3.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",oracle e-business suite,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",oracle commerce platform,6.4
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle database server,5.5
"('LOCAL', 'HIGH', 'NONE', 'PARTIAL', 'NONE')",oracle e-business suite application management pack,1.2
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'NONE')",novell opensuse,1.9
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",fedoraproject fedora,4.6
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",sierrawireless airlink ls300,0.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",apache subversion,5.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",dell optiplex 990,7.2
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",conntrack-tools project conntrack-tools,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",mcafee advanced threat defense,5.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",microsoft windows,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",wpmembership wpmembership,6.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",apple xcode,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",linux linux kernel,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",netiq security solutions for iseries,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",google android,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",palo alto networks traps,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",freeipa freeipa,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",tuxfamily chrony,6.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",debian debian linux,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",hotspotexpress hotex billing manager,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",mcafee enterprise security manager%2freceiver,6.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",twitter project twitter,3.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",cisco ios,6.4
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",cisco content services switch 11500,5.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",cisco prime data center network manager,7.8
"('LOCAL', 'LOW', 'NONE', 'NONE', 'COMPLETE')",cisco anyconnect secure mobility client,6.6
"('LOCAL', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",cisco anyconnect secure mobility client,4.3
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cisco telepresence server software,7.2
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle supply chain products suite,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle retail applications,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'COMPLETE')",oracle fusion middleware,7.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",siemens wincc,5.0
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",siemens simatic step 7,4.4
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",siemens ruggedcom win5200,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft powerpoint viewer,9.3
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'NONE')",microsoft windows rt,1.9
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",microsoft vbscript,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",videolan vlc media player,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",wpml wpml,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",wpml wpml,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",cisco anyconnect secure mobility client,6.4
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco content security management appliance,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft active directory federation services,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",adobe livecycle data services,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla thunderbird,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",google android,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla thunderbird,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",google android,8.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",f5 big-iq adc,7.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",ibm websphere portal,6.4
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",simple subscription project simple subscription,3.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",ibm websphere application server,0.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",certify project certify,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",blue coat malware analysis appliance,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ninjaforms ninja forms,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",bomgar remote support,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",sharelatex sharelatex,6.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",sharelatex sharelatex,3.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",antlabs inngate ig 3.10 g,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",ektron ektron content management system,6.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",servision hvg400,0.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",commerce ogone project commerce ogone,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",samba ppp,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",blue coat malware analysis appliance,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",huawei e587 mobile wifi,9.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",huawei e355s mobile wifi,5.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",trick question project trick question,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",openbsd openssh,8.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",f5 big-iq adc,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",f5 big-ip protocol security module,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",google chrome,5.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",hp intelligent provisioning,0.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",hp system management homepage,6.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",hp operations manager i,0.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",hp arcsight logger,4.0
"('LOCAL', 'MEDIUM', 'SINGLE_INSTANCE', 'COMPLETE', 'NONE')",hp operations manager i,4.4
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",openstack glance,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",intelliants subrion cms,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",apache activemq,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm maximo anywhere,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",church admin project church admin,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",wpbeginner floating social bar,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",nibbleblog nibbleblog,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",j2store j2store,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",creative-solutions contact form generator,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",teiko farol,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",s9y serendipity,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",s9y serendipity,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",cygnux syspass,6.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",cisco nx-os,9.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",google android,7.2
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",feedwordpress project feedwordpress,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",encrypted contact form project encrypted contact form,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",emc rsa archer grc,6.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",emc rsa archer grc,4.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",valve steam,5.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",emc rsa archer grc,3.5
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'NONE')",microsoft windows vista,4.7
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla bugzilla,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",mozilla firefox os,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",canonical ubuntu linux,9.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",adobe air sdk %26 compiler,0.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",wpml wpml,6.4
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",foxitsoftware phantompdf,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",airties air 6372,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",phpliteadmin project phpliteadmin,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",cisco prime collaboration assurance,9.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",cisco prime collaboration assurance,8.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",cisco prime collaboration provisioning,9.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",cisco nexus 9372tx,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",cisco firesight system software,6.4
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",cisco telepresence video communication server software,6.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'NONE')",cisco edge bluebird operating system,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",fiverrscript fiverrscript,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",htacg tidy,6.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle supply chain products suite,4.9
