source,target,value
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",oracle jdk,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",oracle fusion middleware,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",oracle supply chain products suite,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",oracle siebel crm,4.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle integrated lights out manager firmware,7.5
"('LOCAL', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",novell opensuse,3.2
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle enterprise manager grid control,5.0
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",sun sunos,3.3
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",sun sunos,4.9
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm java,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",ibm endpoint manager family,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm rational test workbench,5.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm infosphere master data management server,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ibm sterling field sales,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sybase adaptive server enterprise,7.5
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",microsoft windows server 2012,2.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sap enterprise resource planning,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows server 2003,9.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",usaa mobile banking,2.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",info-zip unzip,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft project server,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",oxide project oxide,7.5
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",apport project apport,7.2
"('LOCAL', 'LOW', 'NONE', 'NONE', 'PARTIAL')",canonical ubuntu linux,2.1
"('NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'NONE')",microsoft .net framework,2.6
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft word viewer,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft exchange server,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",websense triton ap email,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",alkacon opencms,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",mikrotik routeros,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",mybb mybb,7.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows,0.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",adobe shockwave player,0.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",aegirproject hostmaster,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",oracle database server,4.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle fusion middleware,3.5
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",oracle jdk,7.2
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle jre,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle database server,6.5
"('LOCAL', 'MEDIUM', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",oracle vm virtualbox,6.6
"('ADJACENT_NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",oracle fusion middleware,7.1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle hyperion,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle peoplesoft products,4.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",oracle jdk,0.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",websense triton ap email,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",cisco sourcefire 3d9900 sensor,4.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",apple iphone os,5.0
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",openbsd openssh,1.9
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco unified customer voice portal,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco email security appliance,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco firesight system software,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco mediasense,6.8
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco ios,6.1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco wide area application services,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco headend digital broadband delivery system,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",emerson ams device manager,6.5
"('LOCAL', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",wonderware intouch,1.7
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",moxa softcms,6.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",apple mac os x,0.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",websense triton ap email,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",woothemes woocommerce,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",magmi magmi,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",avira management console,0.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",mcafee data loss prevention endpoint,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",manageengine servicedesk plus,4.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",ansible tower,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ansible tower,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",linux linux kernel,7.5
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",symantec workspace streaming,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",symantec data loss prevention,6.8
